Date of initial application by author,Submitted by,University department,PubMed Central (PMC) ID,PubMed ID,DOI,Affiliated author,Publisher,Journal,ISSN,Type of publication,Article title,Date of publication,Fund that APC is paid from (1),Fund that APC is paid from (2),Fund that APC is paid from (3),Funder of research (1),Funder of research (2),Funder of research (3),Grant ID (1),Grant ID (2),Grant ID (3),Date of APC payment,APC paid (actual currency) including VAT if charged,APC paid (actual currency) excluding VAT,VAT (actual currency),Currency of APC,APC paid (£) including VAT if charged,APC paid (£) excluding VAT,VAT (£),Additional publication costs (£),"Discounts, memberships & pre-payment agreements",Amount of APC charged to COAF grant (include VAT if charged) in £,Amount of APC charged to RCUK OA fund (include VAT if charged) in £,Licence,Correct license applied,Problem-free open access publication,Notes,,
07/07/2014,Afionis,ENV,,,10.1088/1748-9326/9/7/074019,Afionis,IOP,Environmental Research Letters,1748-9326,Journal Article/Review (Full OA journal),An international comparison of the outcomes of environmental regulation ,31/07/2014,RCUK,,,ESRC,,,ES/K006576/1,,,04/10/2014,1440.00,,,GBP,"£1,440.00","£1,200.00",£240.00,,,£0.00,"£1,440.00",CC-BY,Yes,Yes,,,
18/07/2014,Dean,ENG,,,10.1088/0022-3727/47/37/374008,Dean,IOP,Journal of Physics D: Applied Physics,0022-3727,Journal Article/Review (Hybrid journal),Terahertz imaging using quantum cascade lasers — a review of systems and applications,28/08/2014,RCUK,,,EPSRC,,,EP/J002356/1,,,12/11/2014,2040.00,,,GBP,"£2,040.00","£1,700.00",£340.00,,,£0.00,"£2,040.00",CC-BY,Yes,Yes,,,
27/03/2014,Frost,ENV,,,10.1016/j.epsl.2014.06.046,Frost,Elsevier,Earth and Planetary Science Letters,0012-821X,Journal Article/Review (Hybrid journal),The P-wave boundary of the Large-Low Shear Velocity Province beneath the Pacific,31/07/2014,RCUK,,,NERC,,,NE/I518750/1,,,09/12/2014,2132.56,,,EUR,"£1,673.51","£1,394.59",£278.92,"£1,871.08",,£0.00,"£3,544.59",CC-BY,Yes,No,,,
04/07/2014,McKay,ENG,,,10.1016/j.aei.2014.07.004,McKay,Elsevier,Advanced Engineering Informatics,1474-0346,Journal Article/Review (Hybrid journal),A representation scheme for digital product service system definitions,14/08/2014,RCUK,,,EPSRC,ESRC,,EP/F038526/1,EP/C534220/1 ,RES-331-27-0006,19/08/2014,2103.72,,,EUR,"£1,678.14","£1,398.45",£335.63,,,£0.00,"£1,678.14",CC-BY,Yes,Yes,,,
04/06/2014,Madill,FMH,,,10.1037/hea0000151,Madill,American Psychological Association,Health Psychology,0278-6133,Journal Article/Review (Hybrid journal),Chronotope disruption as a sensitising concept for understanding chronic illness narratives,08/09/2014,RCUK,,,MRC,ESRC,,G0800124-2/1,,,20/01/2015,4000.00,,,USD,"£3,176.28","£2,646.90",£529.38,,,£0.00,"£3,176.28",CC-BY,Yes,No,,,
22/07/2014,de Lisle,MAPS,,,10.1088/1367-2630/16/8/083022,de Lisle,IOP,New Journal of Physics,1367-2630,Journal Article/Review (Full OA journal),Detection of Chern numbers and entanglement in topological two-species systems through subsystem winding numbers,08/08/2014,RCUK,,,EPSRC,,,EP/I038683/1,,,29/10/2014,1440.00,,,GBP,"£1,440.00","£1,200.00",£240.00,,,£0.00,"£1,440.00",CC-BY,Yes,Yes,,,
25/07/2014,Kersale,MAPS,,,10.1017/jfm.2014.279,Kersale,CUP,Journal of Fluid Mechanics,0022-1120,Journal Article/Review (Hybrid journal),Compressible Taylor-Couette flow- Instability mechanism and codimension 3 points,10/06/2014,RCUK,,,STFC,,,ST/K000853/1,,,28/08/2014,3240.00,,,USD,"£1,936.52","£1,613.77",£322.75,,,£0.00,"£1,936.52",CC-BY,Yes,No,,,
14/07/2014,Griffin,FMH,,25024280,10.1099/vir.0.068932-0,Griffin,Society for General Microbiology,Journal of General Virology,0022-1317,Journal Article/Review (Hybrid journal),NS2 is dispensable for efficient assembly of hepatitis C virus-like particles in a bipartite trans-encapsidation system ,14/07/2014,RCUK,,,MRC,,,G0700124,,,10/09/2014,1785.00,,,GBP,"£1,785.00","£1,487.50",£297.50,,,£0.00,"£1,785.00",CC-BY,Yes,Yes,,,
19/06/2014,Brockway,ENV,,25058343,10.1021/es501217t,Brockway,ACS,Environmental Science & Technology,0013-936X,Journal Article/Review (Hybrid journal),Divergence of trends in US and UK aggregate exergy efficiencies 1960-2010,24/07/2014,RCUK,,,EPSRC,,,EP/K504440/1,,,28/08/2014,1875.00,,,USD,"£1,344.80","£1,120.67",£224.13,,,£0.00,"£1,344.80",CC-BY,Yes,Yes,,,
25/07/2014,Jose,ENG,,,10.1117/1.OE.53.7.071818,Jose,SPIE,Optical Engineering,0091-3286,Journal Article/Review (Hybrid journal),Glass polymer superlattice for integrated optics,06/03/2014,RCUK,,,EPSRC,,,EP/D048672/1,EP/D048982/1 ,,28/08/2014,600.00,,,USD,£430.34,£358.62,£71.72,,,£0.00,£430.34,CC-BY,Yes,Yes,,,
