Date of initial application by author,Submitted by,University department,PubMed Central (PMC) ID,PubMed ID,DOI,Affiliated author,Publisher,Journal,ISSN,Type of publication,Article title,Date of publication,Fund that APC is paid from (1),Fund that APC is paid from (2),Fund that APC is paid from (3),Funder of research (1),Funder of research (2),Funder of research (3),Grant ID (1),Grant ID (2),Grant ID (3),Date of APC payment,APC paid (actual currency) including VAT if charged,APC paid (actual currency) excluding VAT,VAT (actual currency),Currency of APC,APC paid (£) including VAT if charged,APC paid (£) excluding VAT,VAT (£),Additional publication costs (£),"Discounts, memberships & pre-payment agreements",Amount of APC charged to COAF grant (include VAT if charged) in £,Amount of APC charged to RCUK OA fund (include VAT if charged) in £,Licence,Correct license applied,Problem-free open access publication,Notes
8/12/2015,"Seers, Thomas","School of Earth, Atmospheric and Environmental Sciences",,,10.1016/j.jsg.2015.11.004,"Seers, Thomas",Elsevier,Journal of Structural Geology,0191-8141,Journal Article/Review (Hybrid journal),Probabilistic Constraints on Structural Lineament Best Fit Plane Precision Obtained through Numerical Analysis,11/11/2015,RCUK,,,NERC,,,,,,11/01/2016," € 3,534.46 ",,,EUR,2489.06,,,,No,,2489.06,CC-BY,Yes,Yes,
01/08/2015,"Malik, Mohammad",Faculty of Engineering and Physical Sciences,,,10.1016/j.mssp.2014.12.073,"Malik, Mohammad",Elsevier,Materials Science in Semiconductor Processing,1369-8001,Journal Article/Review (Hybrid journal),Synthesis of mackinawite FeS thin films from acidic chemical baths,22/01/2015,RCUK,,,EPSRC,,,EP/K039547/1,,,18/08/2015," € 2,689.86 ",,,EUR,1906.22,,,,No,,1906.22,CC-BY,Yes,Yes,
01/08/2015,"Malik, Mohammad",Faculty of Engineering and Physical Sciences,,,10.1016/j.mssp.2015.03.004,"Malik, Mohammad",Elsevier,Materials Science in Semiconductor Processing,1369-8001,Journal Article/Review (Hybrid journal),Investigation of PbS nanocrystals sensitized extremely thin absorber (ETA) solar cell,27/03/2015,RCUK,,,EPSRC,,,EP/K039547/1,,,18/08/2015," € 2,689.86 ",,,EUR,1906.22,,,,No,,1906.22,CC-BY,Yes,Yes,
01/08/2015,"Malik, Mohammad",Faculty of Engineering and Physical Sciences,,,10.1016/j.mssp.2015.05.017,"Malik, Mohammad",Elsevier,Materials Science in Semiconductor Processing,1369-8001,Journal Article/Review (Hybrid journal),Chemical bath deposition of Fe-doped ZnS thin films: Investigations of their ferromagnetic and half-metallic properties,05/06/2015,RCUK,,,EPSRC,,,EP/K039547/1,,,18/08/2015," € 2,689.86 ",,,EUR,1906.22,,,,No,,1906.22,CC-BY,Yes,Yes,
8/12/2015,"Azapagic, Adisa",School of Chemical Engineering and Analytical Science,,,10.1016/j.renene.2015.11.082,"Azapagic, Adisa",Elsevier,Renewable Energy,0960-1481,Journal Article/Review (Hybrid journal),Renewable Electricity in Turkey: Life Cycle Environmental Impacts,24/12/2015,RCUK,,,EPSRC,,,EP/K011820/1,,,11/01/2016," € 2,677.62 ",,,EUR,1885.65,,,,No,,1885.65,CC-BY,Yes,Yes,
05/01/2016,"Shapira, Philip",Manchester Business School,,,10.1016/j.technovation.2016.01.002,"Shapira, Philip",Elsevier,Technovation,0166-4972,Journal Article/Review (Hybrid journal),Using Web Mining to Explore Triple Helix Influences on Growth in Small and Mid-Size Firms,15/01/2016,RCUK,,,ESRC,,,ES/J008303/1,,,01/02/2016," € 1,927.88 ",,,EUR,1413.09,,,,No,,1413.09,CC-BY,Yes,Yes,
25/01/2016,"Preuss, Michael",Faculty of Engineering and Physical Sciences,,,10.1016/j.corsci.2016.01.018,"Preuss, Michael",Elsevier,Corrosion Science,0010-938X,Journal Article/Review (Hybrid journal),An X-ray Absorption Near-Edge Structure (XANES) study of the Sn L3 edge in zirconium alloy oxide films formed during autoclave corrosion,21/01/2016,RCUK,,,EPSRC,,,,,,01/03/2016," € 2,945.39 ",,,EUR,2229.33,,,,No,,2229.33,CC-BY,Yes,Yes,
27/01/2016,"Polya, David",Faculty of Engineering and Physical Sciences,,,10.1016/j.gca.2016.01.010,"Polya, David",Elsevier,Geochimica et Cosmochimica Acta,0016-7037,Journal Article/Review (Hybrid journal),Tracing organic matter composition and distribution and its role on arsenic release in shallow Cambodian groundwaters,28/01/2016,RCUK,,,NERC,,,,,,01/03/2016," € 3,213.14 ",,,EUR,2431.99,,,,No,,2431.99,CC-BY,Yes,Yes,
27/01/2016,"Smith, Helen",Faculty of Engineering and Physical Sciences,,,10.1016/j.jqsrt.2016.01.030,"Smith, Helen",Elsevier,Journal of Quantitative Spectroscopy & Radiative Transfer,0022-4073,Journal Article/Review (Hybrid journal),Exact and near backscattering measurements of the linear depolarisation ratio of various ice crystal habits generated in a laboratory cloud chamber,02/02/2016,RCUK,,,NERC,,,,,,23/02/2016," € 2,570.52 ",,,EUR,1945.59,,,,No,,1945.59,CC-BY,Yes,Yes,
2/12/2015,"Sinkovics, Rudolf",Manchester Business School,,,10.1108/IMR-10-2014-0341,"Sinkovics, Rudolf",Emerald Group Publishing Ltd.,International Marketing Review,0265-1335,Journal Article/Review (Hybrid journal),Enhancing the foundations or theorising through bibliometric mapping,,RCUK,,,ESRC,,,,,,19/04/2016," £1,194.00 ",,,GBP,1194,,,,No,,1194,CC-BY,Yes,Yes,
17/12/2015,"Lowe, Martin",School of Life Sciences,PMC4707255,,10.3389/fcell.2015.00086,"Lowe, Martin",Frontiers Research Foundation,Frontiers in Cell and Developmental Biology,2296-634X,Journal Article/Review (Full OA journal),The Golgin Family of Coiled-Coil Tethering Proteins,11/1/2016,RCUK,,,MRC,,,MR/N000366/1,,,09/02/2016, $712.50 ,,,USD,574.09,,,,No,,574.09,CC-BY,Yes,Yes,
18/01/2016,"Cosgrove, Karen",Faculty of Life Sciences,PMC4747152,,10.3389/fendo.2016.00008,"Cosgrove, Karen",Frontiers Research Foundation,Frontiers in Endocrinology,1664-2392,Journal Article/Review (Full OA journal),Feeding problems are persistent in children with severe Congenital Hyperinsulinism,09/02/2016,RCUK,,,RCUK,,,,,,10/03/2015," $1,425.00 ",,,USD,1179.9,,,,No,,1179.9,CC-BY,Yes,Yes,
19/08/2015,"Barran, Perdita",Engineering and Physical Sciences,PMC4498441,,10.3389/fmolb.2015.00039,"Barran, Perdita",Frontiers Research Foundation,Frontiers in Molecular Biosciences,2296-889X,Journal Article/Review (Full OA journal),The use of Ion Mobility Mass Spectrometry to probe Modulation of Function of p53 and of MDM2 by Small Molecule Inhibitors,10/7/2015,RCUK,,,BBSRC,,,BB/L002655/1,,,24/8/2015," $1,425.00 ",,,USD,1088.82,,,,Yes,,1088.82,CC-BY,Yes,Yes,
17/08/2015,"Hager, Reinmar",Life Sciences,PMC4486840,,10.3389/fnbeh.2015.00171,"Hager, Reinmar",Frontiers Research Foundation,Frontiers in Behavioral Neuroscience,1662-5153,Journal Article/Review (Full OA journal),A cross-species genetic analysis identifies candidate genes for mouse anxiety and human bipolar disorder,1/7/2015,RCUK,,,BBSRC,,,,,,13/10/2015," $         1,900.00 ",,,USD,1476.3,,,,Yes,,1476.3,CC-BY,Yes,Yes,
04/09/2015,"Petersen, Rasmus",Life Sciences,PMC4585317,,10.3389/fncir.2015.00050,"Petersen, Rasmus",Frontiers Research Foundation,Frontiers in Neural Circuits,1662-5110,Journal Article/Review (Full OA journal),Efficient population coding of naturalistic whisker motion in the ventro-posterior medial thalamus based on precise spike timing,25/9/2015,RCUK,,,MRC,,,MR/L01064X/1,,,3/11/2015," $1,327.00 ",,,USD,1049.72,,,,Yes,,1049.72,CC-BY,Yes,Yes,
28/08/2015,"Elijah, Daniel",Humanities,PMC4585143,,10.3389/fncom.2015.00113,"Elijah, Daniel",Frontiers Research Foundation,Frontiers in Computational Neuroscience,1662-5188,Journal Article/Review (Full OA journal),Thalamic neuron models encode stimulus information by burst-size modulation,23/9/2015,RCUK,,,BBSRC,,,BB/D526561/1,,,13/10/2015," $1,900.00 ",,,USD,1476.29,,,,Yes,,1476.29,CC-BY,Yes,Yes,
06/02/2016,"Shiels, Holly",School of Life Sciences,PMC4720793,,10.3389/fphys.2015.00427,"Shiels, Holly",Frontiers Research Foundation,Frontiers in Physiology,1664-042X,Journal Article/Review (Full OA journal),The dynamic nature of hypertrophic and fibrotic remodelling in the fish ventricle,21/01/2016,RCUK,,,MRC,,,G1001398,,,09/02/2016," $1,900.00 ",,,USD,1528.36,,,,No,,1528.36,CC-BY,Yes,Yes,
19/08/2015,"Schwartz, Jean-Marc",Life Sciences,PMC4485056,,10.3389/fpls.2015.00474,"Schwartz, Jean-Marc",Frontiers Research Foundation,Frontiers in Plant Science,1664-462X,Journal Article/Review (Full OA journal),Flux balance analysis reveals acetate metabolism modulates cyclic electron flow and alternative glycolytic pathways in Chlamydomonas reinhardtii,30/6/2015,RCUK,,,BBSRC,,,BB/G530225/1,,,24/8/2015," $1,425.00 ",,,USD,1088.81,,,,Yes,,1088.81,CC-BY,Yes,Yes,
20/08/2015,"Pittman, Jon",Life Sciences,PMC4515546,,10.3389/fpls.2015.00580,"Pittman, Jon",Frontiers Research Foundation,Frontiers in Plant Science,1664-462X,Journal Article/Review (Full OA journal),Radioactivity and the environment: technical approaches to understand the role of arbuscular mycorrhizal plants in radionuclide bioaccumulation,27/7/2015,RCUK,,,NERC,,,NE/L000547/1,,,1/9/2015, $875.00 ,,,USD,671.4,,,,Yes,,671.4,CC-BY,Yes,Yes,
21/09/2015,"Hutchison, Isabel",Medical and Human Sciences,PMC4589642,,10.3389/fpsyg.2015.01439,"Hutchison, Isabel",Frontiers Research Foundation,Frontiers in Psychology,1664-1078,Journal Article/Review (Full OA journal),The role of REM sleep theta activity in emotional memory,1/10/2015,RCUK,,,BBSRC,,,BB/J014478/1,,,3/11/2015," $1,425.00 ",,,USD,1127.31,,,,No,,1127.31,CC-BY,Yes,Yes,
27/4/2015,"Niven, Karen",Manchester Business School,PMC4586352,,10.3389/fpsyg.2015.01452,"Niven, Karen",Frontiers Research Foundation,Frontiers in Psychology,1664-1078,Journal Article/Review (Full OA journal),Becoming popular: Interpersonal emotion regulation predicts relationship formation in new social networks,29/9/2015,RCUK,,,ESRC,,,,,,03/11/2015," $1,425.00 ",,,USD,1127.32,,,,No,,1127.32,CC-BY,Yes,Yes,
27/01/2016,"Dilworth, Mark",Faculty of Medical and Human Sciences,,,10.3389/fphys.2016.00028,"Dilworth, Mark",Frontiers Research Foundation,Frontiers in Physiology,1664-042X,Journal Article/Review (Full OA journal),Placental Adaptation: What Can We Learn From Birthweight:Placental Weight Ratio?,05/02/2016,RCUK,,,MRC,,,,,,16/02/2016," $1,425.00 ",,,USD,1146.8,,,,Yes,,1146.8,CC-BY,Yes,Yes,
02/02/2016,"Morris, Lydia",Faculty of Medical and Human Sciences,,,10.3389/fpsyg.2016.00099,"Morris, Lydia",Frontiers Research Foundation,Frontiers in Psychology,1664-1078,Journal Article/Review (Full OA journal),The Take Control Course: Conceptual rationale for the development of a transdiagnostic group for common mental health problems,10/02/2016,RCUK,,,ESRC,,,,,,16/02/2016," $1,900.00 ",,,USD,1529.06,,,,No,,1529.06,CC-BY,Yes,Yes,
12/11/2015,"Bergman, Casey",Faculty of Life Sciences,PMC4683655,,10.1534/g3.115.021931,"Bergman, Casey",Genetics Society of America,"G3: Genes, Genomes, Genetics",2160-1836,Journal Article/Review (Full OA journal),Dynamics of Wolbachia pipientis gene expression across the Drosophila melanogaster life cycle.,23/10/2015,RCUK,,,NERC,,,NE/K500859/1,,,15/12/2015," $1,650.00 ",,,USD,1311.19,,,,No,,1311.19,CC-BY,Yes,Yes,
04/09/2015,"Hollis, Catherine",Engineering and Physical Sciences,,,10.1144/jgs2014-149,"Hollis, Catherine",Geological Society Publishing House,Geological Society. Journal,0016-7649,Journal Article/Review (Hybrid journal),"The control of basin evolution on patterns of sedimentation and diagenesis: an example from the Lower Carboniferous North Wales Platform, UK",9/12/2015,RCUK,,,NERC,,,NE/G523712/1,,,29/9/2015," £1,800.00 ",,,GBP,1800,,,,No,,1800,CC-BY,Yes,Yes,
10/11/2015,Georg Brabant,Faculty of Medical and Human Sciences,,26578365,10.1007/s12020-015-0783-7,Georg Brabant,"Humana Press, Inc.",Endocrine,1355-008X,Journal Article/Review (Hybrid journal),Copeptin under glucagon stimulation,17/11/2015,Other,,,Other,,,,,,10/11/2015, £-   ,,,GBP,0,,,,Yes,,0,CC-BY,Yes,Yes,
19/12/2015,"Taylor, Stephen",Institute of Cancer Sciences,PMC4868679,,10.18632/oncotarget.6894,"Taylor, Stephen",Impact Journals LLC,OncoTarget,1949-2553,Journal Article/Review (Hybrid journal),Mcl-1 dynamics influence mitotic slippage and death in mitosis,12/1/2016,RCUK,COAF,COAF,MRC,,,MR/L006839/1,,,18/01/2016," $1,425.00 ",,,USD,1135.42,,,,No,,1135.42,CC-BY,Yes,Yes,
06/01/2016,"Sinkovics, Rudolf",Manchester Business School,,,10.1504/EJIM.2016.076292,"Sinkovics, Rudolf",Inderscience Publishers,European Journal of International Management,1751-6757,Journal Article/Review (Hybrid journal),Supplier strategies to compensate for knowledge asymmetries in buyer-supplier relationships: Implications for economic upgrading,,RCUK,,,ESRC,,,ES/J013234/1,,,19/04/2016," £2,400.00 ",,,GBP,2400,,,,No,,2400,CC-BY,Yes,Yes,
24/09/2015,"Binks, David",Engineering and Physical Sciences,,,10.1109/JPHOTOV.2015.2483368,"Binks, David",Institute of Electrical and Electronics Engineers,I E E E Journal of Photovoltaics,2156-3381,Journal Article/Review (Hybrid journal),Design of Core/Shell Colloidal Quantum Dots for MEG Solar Cells,1/1/2016,RCUK,,,EPSRC,,,EP/M010627/1,,,24/9/2015, £-   ,,,GBP,0,,,,Yes,,0,CC-BY,Yes,Yes,
11/09/2015,"Toms, William",Engineering and Physical Sciences,,,10.1109/LCA.2015.2478784,"Toms, William",Institute of Electrical and Electronics Engineers,I E E E Computer Architecture Letters,1556-6056,Journal Article/Review (Hybrid journal),Cyclic Power-Gating as an Alternative to Voltage and Frequency Scaling,14/9/2015,RCUK,,,EPSRC,,,EP/J016330/1,,,23/10/2015, £-   ,,,GBP,0,,,,Yes,,0,CC-BY,Yes,Yes,
09/09/2015,"Buckley, David",Engineering and Physical Sciences,,,10.1109/TCIAIG.2015.2494849,"Buckley, David",Institute of Electrical and Electronics Engineers,I E E E Transactions on Computational Intelligence and A I in Games,1943-068X,Journal Article/Review (Hybrid journal),Rapid Skill Capture in a First-Person Shooter,27/10/2015,RCUK,,,EPSRC,,,EP/1028099/1,,,10/9/2015, £-   ,,,GBP,0,,,,Yes,,0,CC-BY,Yes,Yes,
23/09/2015,"So, Daniel",Engineering and Physical Sciences,,,10.1109/TIT.2015.2482482,"So, Daniel",Institute of Electrical and Electronics Engineers,I E E E Transactions on Information Theory,0018-9448,Journal Article/Review (Hybrid journal),Exact SINR Statistics in the Presence of Heterogeneous Interferers,12/11/2015,RCUK,,,EPSRC,,,EP/J021768/1,,,23/10/2015, £-   ,,,GBP,0,,,,Yes,,0,CC-BY,Yes,Yes,
9/12/2015,"Mccormick, David",School of Electrical and Electronic Engineering,,,10.1109/JSEN.2015.2507702,"Mccormick, David",Institute of Electrical and Electronics Engineers,I E E E Sensors Journal,1530-437X,Journal Article/Review (Hybrid journal),High-Sensitivity In-Situ Soot Particle Sensing in an Aero-Engine Exhaust Plume Using Long-Pulsed Fiber-Laser Induced Incandescence,8/4/2016,RCUK,,,EPSRC,,,EP/J002151/1,,,09/12/2015, £-   ,,,GBP,0,,,,Yes,,0,CC-BY,Yes,Yes,
21/01/2016,"Saint-Pierre, Adrien",Faculty of Engineering and Physical Sciences,,,10.1109/TSG.2016.2518084,"Saint-Pierre, Adrien",Institute of Electrical and Electronics Engineers,I E E E Transactions on Smart Grid,1949-3053,Journal Article/Review (Hybrid journal),Active Distribution System Management: A Dual-Horizon Scheduling Framework for DSO/TSO Interface under Uncertainty,11/03/2016,RCUK,,,EPSRC,,,,,,21/01/2016, £-   ,,,GBP,0,,,,Yes,,0,CC-BY,Yes,Yes,
20/01/2016,"Popelier, Paul",Faculty of Engineering and Physical Sciences,,,10.1088/0031-8949/91/3/033007,"Popelier, Paul",Institute of Physics Publishing Ltd.,Physica Scripta,0031-8949,Journal Article/Review (Hybrid journal),Molecular simulation by knowledgeable quantum atoms,24/02/2016,RCUK,,,EPSRC,,,EP/K005472/1,,,22/03/2016," £2,040.00 ",,,GBP,2040,,,,No,,2040,CC-BY,Yes,Yes,
17/08/2015,"O'Keefe, Raymond",Life Sciences,PMC4615276,,10.1080/15476286.2015,"O'Keefe, Raymond",Landes Bioscience,R N A Biology,1547-6286,Journal Article/Review (Hybrid journal),The NineTeen Complex (NTC) and NTC-associated proteins as targets for spliceosomal ATPase action during pre-mRNA splicing,5/2/2015,RCUK,,,BBSRC,,,BB/I019510/1,,,10/11/2015," $1,000.00 ",,,USD,791.08,,,,No,,791.08,CC-BY,Yes,Yes,
03/08/2015,"Grant, Christopher",Life Sciences,PMC4601295,,10.1080/19336896.2015.1065372,"Grant, Christopher",Landes Bioscience,Prion Prion,1933-6896,Journal Article/Review (Hybrid journal),Sup35 methionine oxidation is a trigger for de novo [PSI+] prion formation,17/6/2015,RCUK,,,BBSRC,,,BB/J000183/1,,,10/11/2015, $500.00 ,,,USD,383.66,,,,No,,383.66,CC BY,Yes,Yes,
30/12/2015,"Azapagic, Adisa",School of Chemical Engineering and Analytical Science,,26906085,10.1016/j.wasman.2016.02.010,"Azapagic, Adisa",M D P I AG,Energies,1996-1073,Journal Article/Review (Full OA journal),Assessing the Environmental Sustainability of Electricity Generation in Turkey on a Life Cycle Basis,20/02/2015,RCUK,,,EPSRC,,,,,,01/02/2016," CHF 1,200.00 ",,,CHF,966.51,,,,No,,966.51,CC-BY,Yes,Yes,
15/12/2015,"Casson, Alex",School of Electrical and Electronic Engineering,PMC4721816,,10.3390/s151229897,"Casson, Alex",M D P I AG,Sensors,1424-8220,Journal Article/Review (Full OA journal),An analog circuit approximation of the Discrete Wavelet Transform for ultra low power signal processing in wearable sensor nodes,17/12/2015,RCUK,,,EPSRC,,,EP/M009262/1,,,08/01/2016," CHF 1,750.00 ",,,CHF,1360.17,,,,Yes,,1360.17,CC-BY,Yes,Yes,
16/01/2016,"Hardman, Matthew",Faculty of Life Sciences,,,10.1089/wound.2015.0683.,"Hardman, Matthew","Mary AnnLiebert, Inc. Publishers",Advances in Wound Care,2162-1918,Journal Article/Review (Hybrid journal),Comparing the effectiveness of polymer debriding devices using a porcine wound biofilm model.,22/04/2015,RCUK,,,MRC,,,G1000449,,,10/03/2016," $3,200.00 ",,,USD,2675.48,,,,No,,2675.48,CC-BY,Yes,Yes,
05/01/2016,"Holm, Soren",School of Law,PMC4801982,,10.1007/s40592-015-0050-y,"Holm, Soren",Monash University,Monash Bioethics Review,1321-2753,Journal Article/Review (Hybrid journal),"Biobanking human embryonic stem cell lines: policy, ethics and efficiency",13/01/2016,Other,,,Other,,,,,,05/01/2016, £-   ,,,GBP,0,,,,Yes,,0,CC-BY,Yes,Yes,
09/10/2015,"Pool, Martin",Life Sciences,PMC4686813,,10.1038/ncomms10133.,"Pool, Martin",Nature Publishing Group,Nature Communications,2041-1723,Journal Article/Review (Hybrid journal),Mammalian SRP receptor switches the Sec61 translocase from Sec62 to SRP-dependent translocation,4/12/2015,RCUK,,,BBSRC,,,BB/F017227/1,,,08/12/2015," £3,780.00 ",,,GBP,3780,,,,No,,3780,CC-BY,Yes,Yes,
9/11/2015,Richard Winpenny,Faculty of Engineering and Physical Sciences,,26742716,10.1038/ncomms10240,Richard Winpenny,Nature Publishing Group,Nature Communications,2041-1723,Journal Article/Review (Hybrid journal),Making Hybrid [n]-Rotaxanes as Supramolecular Arrays of Molecular Electron Spin Qubits,8/1/2015,RCUK,,,EPSRC,EPSRC,,EP/J009377/1,EP/l0114416/1,,15/12/2015," £3,780.00 ",,,GBP,3780,,,,No,,3780,CC-BY,Yes,Yes,
15/01/2016,"Woods, Colin",Faculty of Engineering and Physical Sciences,PMC4792927,,10.1038/ncomms10800,"Woods, Colin",Nature Publishing Group,Nature Communications,2041-1723,Journal Article/Review (Hybrid journal),Macroscopic self-reorientation of interacting two-dimensional crystals,10/03/2016,RCUK,,,EPSRC,,,EP/N010345/1,,,23/02/2016," £3,780.00 ",,,GBP,3780,,,,No,,3780,CC-BY,Yes,Yes,
14/08/2015,"Lee, Peter",Engineering and Physical Sciences,PMC4579839,,10.1038/ncomms9300.,"Lee, Peter",Nature Publishing Group,Nature Communications,2041-1723,Journal Article/Review (Hybrid journal),Transgranular liquation cracking of grains in the semi-solid state,10/9/2015,RCUK,,,EPSRC,,,EP/I02249X/1,,,9/9/2015," £3,780.00 ",,,GBP,3780,,,,No,,3780,CC BY,Yes,Yes,
14/08/2015,"Piggins, Hugh",Life Sciences,PMC4642707,,10.1038/srep14044.,"Piggins, Hugh",Nature Publishing Group,Scientific Reports,2045-2322,Journal Article/Review (Full OA journal),Constant light enhances synchrony among circadian clock cells and promotes behavioral rhythms in VPAC2-signaling deficient mice,15/9/2015,RCUK,RCUK,,BBSRC,BBSRC,,BB/J003441/1,BB/M02329X/1,,22/9/2015," £1,188.00 ",,,GBP,1188,,,,No,,1188,CC BY,Yes,Yes,
08/09/2015,"Mcdonald, Samuel",Engineering and Physical Sciences,PMC4615976,,10.1038/srep14665.,"Mcdonald, Samuel",Nature Publishing Group,Scientific Reports,2045-2322,Journal Article/Review (Full OA journal),Non-destructive mapping of grain orientations in 3D by laboratory X-ray microscopy,23/10/2015,RCUK,,,EPSRC,,,EP/K004530/1,,,13/10/2015," £1,188.00 ",,,GBP,1188,,,,No,,1188,CC-BY,Yes,Yes,
29/09/2015,"Pavitt, Graham",Life Sciences,PMC4616039,,10.1038/srep15518.,"Pavitt, Graham",Nature Publishing Group,Scientific Reports,2045-2322,Journal Article/Review (Full OA journal),Integrated multi-omics analyses reveal the pleiotropic nature of the control of gene expression by Puf3p,23/10/2015,RCUK,,,BBSRC,,,BB/G012571/1,,,3/11/2015," £1,188.00 ",,,GBP,1188,,,,No,,1188,CC-BY,Yes,Yes,
05/10/2015,"Goodacre, Roy",Engineering and Physical Sciences,PMC4623531,,10.1038/srep15649,"Goodacre, Roy",Nature Publishing Group,Scientific Reports,2045-2322,Journal Article/Review (Full OA journal),Metabolic profiling reveals potential metabolic markers associated with Hypoxia Inducible Factor-mediated signalling in hypoxic cancer cells,28/10/2015,RCUK,,,BBSRC,,,BB/C008219/1,,,3/11/2015," £1,188.00 ",,,GBP,1188,,,,No,,1188,CC-BY,Yes,Yes,
07/10/2015,"Egan, Christopher",Engineering and Physical Sciences,PMC4626840,,10.1038/srep15979,"Egan, Christopher",Nature Publishing Group,Scientific Reports,2045-2322,Journal Article/Review (Full OA journal),3D chemical imaging in the laboratory by hyperspectral X-ray computed tomography,30/10/2015,RCUK,,,EPSRC,,,EP/F007906/1,,,10/11/2015," £1,188.00 ",,,GBP,1188,,,,No,,1188,CC-BY,Yes,Yes,
17/08/2015,"Allan, Stuart",Life Sciences,PMC4776311,,10.1177/0271678X15606714.,"Allan, Stuart",Nature Publishing Group,Journal of Cerebral Blood Flow and Metabolism,0271-678X,Journal Article/Review (Hybrid journal),A cross-laboratory preclinical study on the effectiveness of interleukin-1 receptor antagonist in stroke,30/9/2015,RCUK,,,MRC,,,,,,6/10/2015, £240.00 ,,,GBP,240,,,,Yes,,240,CC BY,Yes,Yes,
27/01/2016,"Newton, Andrew",Faculty of Engineering and Physical Sciences,,,10.1038/ncomms10927,"Newton, Andrew",Nature Publishing Group,Nature Communications,2041-1723,Journal Article/Review (Hybrid journal),Buried iceberg scours reveal reduced North Atlantic Current during the stage 12 deglacial,16/03/2016,RCUK,,,NERC,,,,,,01/03/2016," £3,780.00 ",,,GBP,3780,,,,No,,3780,CC-BY,Yes,Yes,
21/01/2016,"Evatt, Geoffrey",Faculty of Engineering and Physical Sciences,,,10.1038/ncomms10679,"Evatt, Geoffrey",Nature Publishing Group,Nature Communications Nat Commun,2041-1723,Journal Article/Review (Hybrid journal),A Potential Hidden Layer of Meteorites Below the Ice surface of Antartica,16/02/2016,RCUK,,,EPSRC,,,,,,10/02/2016," £3,780.00 ",,,GBP,3780,,,,No,,3780,CC-BY,Yes,Yes,
31/01/2016,"Baldock, Clair",Faculty of Life Sciences,,,10.1038/srep21456,"Baldock, Clair",Nature Publishing Group,Scientific Reports,2045-2322,Journal Article/Review (Full OA journal),Diversity between mammalian tolloid proteinases: Oligomerisation and non-catalytic domains influence activity and specificity,23/02/2016,RCUK,,,BBSRC,,,,,,23/02/2016," £1,188.00 ",,,GBP,1188,,,,Yes,,1188,CC-BY,Yes,Yes,
08/09/2015,"Mekli, Krisztina",Humanities,PMC4621230,,10.1093/ageing/afv122,"Mekli, Krisztina",Oxford University Press,Age and Ageing,0002-0729,Journal Article/Review (Hybrid journal),Genetic variant of Interleukin-18 gene is associated with the Frailty Index in the English Longitudinal Study of Ageing,22/9/2015,RCUK,,,MRC,,,G1001375/1,,,6/10/2015," £2,400.00 ",,,GBP,2400,,,,No,,2400,CC-BY,Yes,Yes,
17/08/2015,"Lambon Ralph, Matthew",Medical and Human Sciences,PMC4816787,,10.1093/cercor/bhv024,"Lambon Ralph, Matthew",Oxford University Press,Cerebral Cortex,1047-3211,Journal Article/Review (Hybrid journal),The roles of left vs. right anterior temporal lobes in conceptual knowledge: An ALE meta-analysis of 97 functional neuroimaging studies,13/3/2015,RCUK,,,MRC,,,MR/J004146/1,,,1/9/2015," £2,550.00 ",,,GBP,2550,,,,No,,2550,CC-BY,Yes,Yes,
26/10/2015,"Pratt-Hartmann, Ian",Engineering and Physical Sciences,,,10.1093/logcom/exv075,"Pratt-Hartmann, Ian",Oxford University Press,Journal of Logic and Computation,0955-792X,Journal Article/Review (Hybrid journal),Equivalence Closure in the Two-Variable Guarded Fragment,4/12/2015,RCUK,,,EPSRC,,,EP/K017438/1,,,27/10/2015, £-   ,,,GBP,0,,,,Yes,,0,CC-BY,Yes,Yes,
28/09/2015,"Dixon, Neil",Life Sciences,PMC4756846,,10.1093/nar/gkv912,"Dixon, Neil",Oxford University Press,Nucleic Acids Research N A R,0305-1048,Journal Article/Review (Hybrid journal),Dual transcriptional-translational cascade permits cellular level tuneable expression control,23/9/2015,RCUK,,,BBSRC,,,BB/J019089/1,,,3/11/2015," £2,304.00 ",,,GBP,2304,,,,No,,2304,CC-BY,Yes,Yes,
01/08/2015,"Woolf, Adrian",Faculty of Medical and Human Sciences,PMC4805131,,10.1093/ndt/gfv309,"Woolf, Adrian",Oxford University Press,"Nephrology, Dialysis, Transplantation N D T",0931-0509,Journal Article/Review (Hybrid journal),From gene discovery to new biological mechanisms: heparanases and congenital urinary bladder disease.,27/08/2015,RCUK,,,MRC,,,MR/L002744/1,,,25/08/2015," £2,100.00 ",,,GBP,2100,,,,Yes,,2100,CC-BY,Yes,Yes,
29/09/2015,"O'Driscoll, Brian",Engineering and Physical Sciences,,,10.1093/petrology/egv055,"O'Driscoll, Brian",Oxford University Press,Journal of Petrology,0022-3530,Journal Article/Review (Hybrid journal),"Generations of Melt Extraction, Melt-Rock Interaction and High-Temperature Metasomatism Preserved in Peridotites of the ~497 Ma Leka Ophiolite Complex, Norway",,RCUK,,,NERC,,,,,,27/10/2015," £2,100.00 ",,,GBP,2100,,,,No,,2100,CC-BY,Yes,Yes,
01/08/2015,"Liggins, David",Faculty of Humanities,,,10.1093/pq/pqv063,"Liggins, David",Oxford University Press,The Philosophical Quarterly,1467-9213,Journal Article/Review (Hybrid journal),"Deflationism, conceptual explanation, and the truth asymmetry",27/08/2015,RCUK,,,AHRC,,,,,,01/09/2015," £2,250.00 ",,,GBP,2250,,,,Yes,,2250,CC-BY,Yes,Yes,
